id,inDays,outDays,numDays
1,4,94,90
2,4,75,71
3,4,4,0
4,4,160,156
5,4,75,71
6,11,40,29
7,23,37,14
8,23,65,42
9,30,65,35
10,37,183,146
11,37,185,148
12,40,65,25
13,46,65,19
14,65,218,153
15,65,170,105
16,76,94,18
17,76,94,18
18,76,106,30
19,76,94,18
20,76,106,30
21,86,183,97
22,86,183,97
23,86,94,8
24,86,106,20
25,86,183,97
26,96,183,87
27,96,106,10
28,96,106,10
29,96,106,10
30,107,146,39
31,107,117,10
32,107,117,10
33,107,117,10
34,107,146,39
35,107,160,53
36,113,141,28
37,113,160,47
38,117,160,43
39,117,146,29
40,117,146,29
41,122,285,163
42,122,150,28
43,122,285,163
44,135,160,25
45,149,236,87
46,149,160,11
47,149,160,11
48,149,170,21
49,150,160,10
50,150,170,20
51,150,184,34
52,150,309,159
53,160,185,25
54,164,170,6
55,164,183,19
56,164,170,6
57,170,197,27
58,185,222,37
59,197,218,21
60,197,218,21
61,197,218,21
62,197,218,21
63,197,218,21
64,197,302,105
65,197,355,158
66,197,200,3
67,197,355,158
68,200,309,109
69,205,218,13
70,205,236,31
71,218,222,4
72,218,236,18
73,218,236,18
74,222,236,14
75,222,236,14
76,222,236,14
77,225,236,11
78,236,240,4
79,240,248,8
80,240,248,8
81,240,248,8
82,240,285,45
83,240,248,8
84,240,248,8
85,248,254,6
86,248,253,5
87,248,269,21
88,248,253,5
89,248,253,5
90,248,253,5
91,269,285,16
92,269,282,13
93,269,282,13
94,269,298,29
95,274,285,11
96,274,282,8
97,274,282,8
98,274,302,28
99,279,285,6
100,279,309,30
101,279,285,6
102,279,285,6
103,279,309,30
104,281,285,4
105,281,309,28
106,281,309,28
107,295,319,24
108,295,463,168
109,295,309,14
110,298,326,28
111,302,309,7
112,302,319,17
113,302,309,7
114,302,309,7
115,302,386,84
116,304,319,15
117,304,309,5
118,319,435,116
119,319,323,4
120,319,355,36
121,319,355,36
122,337,355,18
123,337,355,18
124,351,355,4
125,351,355,4
126,351,355,4
